idx,model_name,num_var,num_inputs,num_regulars,variable_mapping,regulations
1,DROSOPHILA-WINGS-AP,10,2,8,"x1: v_Ap, x2: v_Ap2, x3: v_Dl, x4: v_Dl2, x5: v_Fng, x6: v_Fng2, x7: v_N, x8: v_N2, x9: v_Ser, x10: v_Ser2","x3 = ( NOT x1 AND x7 )
x4 = ( NOT x2 AND x8 )
x5 = x1
x6 = x2
x7 = ( ( NOT x5 AND x10 ) OR ( x5 AND x4 ) )
x8 = ( ( ( ( NOT x3 AND x9 ) AND NOT x6 ) OR ( ( x3 AND NOT x9 ) AND x6 ) ) OR ( x3 AND x9 ) )
x9 = x1
x10 = x2"
2,LAMBDA-PHAGE-LYSOGENY,7,0,7,"x1: v_CII, x2: v_CI_b1, x3: v_CI_b2, x4: v_Cro_b1, x5: v_Cro_b2, x6: v_Cro_b3, x7: v_N","x1 = ( ( ( ( ( ( ( NOT x2 AND NOT x4 ) AND x7 ) OR ( ( ( NOT x2 AND x4 ) AND NOT x5 ) AND x7 ) ) OR ( ( ( ( NOT x2 AND x4 ) AND x5 ) AND NOT x6 ) AND x7 ) ) OR ( ( ( x2 AND NOT x3 ) AND NOT x4 ) AND x7 ) ) OR ( ( ( ( x2 AND NOT x3 ) AND x4 ) AND NOT x5 ) AND x7 ) ) OR ( ( ( ( ( x2 AND NOT x3 ) AND x4 ) AND x5 ) AND NOT x6 ) AND x7 ) )
x2 = ( ( ( ( ( NOT x2 AND NOT x4 ) OR ( ( NOT x2 AND x4 ) AND x1 ) ) OR ( ( x2 AND NOT x3 ) AND NOT x4 ) ) OR ( ( ( x2 AND NOT x3 ) AND x4 ) AND x1 ) ) OR ( x2 AND x3 ) )
x3 = ( ( x2 AND NOT x4 ) OR ( ( x2 AND x4 ) AND x1 ) )
x4 = ( ( NOT x2 OR ( x2 AND NOT x3 ) ) OR ( ( ( x2 AND x3 ) AND x4 ) AND x5 ) )
x5 = ( ( ( NOT x2 AND x4 ) OR ( ( x2 AND NOT x3 ) AND x4 ) ) OR ( ( ( ( x2 AND x3 ) AND x4 ) AND x5 ) AND x6 ) )
x6 = ( ( ( ( NOT x2 AND x4 ) AND x5 ) AND NOT x6 ) OR ( ( ( ( x2 AND NOT x3 ) AND x4 ) AND x5 ) AND NOT x6 ) )
x7 = ( ( NOT x2 AND NOT x4 ) OR ( ( NOT x2 AND x4 ) AND NOT x5 ) )"
3,PREDICTING-VARIABILITIES-IN-CARDIAC-GENE,15,2,13,"x1: v_Bmp2, x2: v_Dkk1, x3: v_Fgf8, x4: v_Foxc1_2, x5: v_GATAs, x6: v_Isl1, x7: v_Mesp1_, x8: v_Nkx2_5_, x9: v_Tbx1, x10: v_Tbx5, x11: v_canWnt, x12: v_exogen_BMP2_I, x13: v_exogen_BMP2_II, x14: v_exogen_CanWnt_I, x15: v_exogen_CanWnt_II","x1 = ( x13 AND NOT x11 )
x2 = ( ( x11 AND NOT x13 ) OR x7 )
x3 = ( ( x9 AND NOT x7 ) OR ( x4 AND NOT x7 ) )
x4 = ( x11 AND x15 )
x5 = ( ( x7 OR x8 ) OR x10 )
x6 = ( ( ( x7 OR x9 ) OR ( x11 AND x15 ) ) OR x3 )
x7 = ( x11 AND NOT x13 )
x8 = ( ( ( ( x10 OR ( x5 AND x1 ) ) OR ( x6 AND x5 ) ) OR x9 ) OR ( x7 AND x2 ) )
x9 = x4
x10 = ( ( ( x10 AND NOT ( ( x9 OR ( x2 AND ( NOT x10 AND NOT x7 ) ) ) OR x11 ) ) OR ( x7 AND NOT ( ( x9 OR ( x2 AND ( NOT x10 AND NOT x7 ) ) ) OR x11 ) ) ) OR ( x8 AND NOT ( ( x9 OR ( x2 AND ( NOT x10 AND NOT x7 ) ) ) OR x11 ) ) )
x11 = x15
x13 = x12
x15 = x14"
4,HCC1954-BREAST-CELL-LINE-SHORT-TERM,16,5,11,"x1: v_AKT, x2: v_EGF, x3: v_ERBB1, x4: v_ERBB2, x5: v_ERBB3, x6: v_ERK1_2, x7: v_HRG, x8: v_MEK1_2, x9: v_PDK1, x10: v_PKCa, x11: v_PLCg, x12: v_erlotinib, x13: v_mTOR, x14: v_p70S6K, x15: v_pertuzumab, x16: v_trastuzumab","x1 = ( ( ( ( x14 OR x13 ) OR x5 ) OR x9 ) OR x1 )
x3 = ( ( ( x2 AND NOT ( x15 OR x12 ) ) OR ( x3 AND NOT ( x15 OR x12 ) ) ) OR ( x11 AND NOT ( x15 OR x12 ) ) )
x4 = ( ( ( x3 AND NOT ( ( x12 OR x16 ) OR x15 ) ) OR ( x4 AND NOT ( ( x12 OR x16 ) OR x15 ) ) ) OR ( x9 AND NOT ( ( x12 OR x16 ) OR x15 ) ) )
x5 = ( ( ( x6 AND NOT ( x12 OR x15 ) ) OR ( x5 AND NOT ( x12 OR x15 ) ) ) OR ( x7 AND NOT ( x12 OR x15 ) ) )
x6 = ( x8 OR x6 )
x8 = ( ( ( ( x3 OR x9 ) OR x8 ) OR x4 ) OR x5 )
x9 = ( ( ( x4 OR x9 ) OR x3 ) OR x5 )
x10 = ( ( x11 OR x10 ) OR x16 )
x11 = ( ( ( x3 OR x4 ) OR x11 ) OR x5 )
x13 = ( x1 OR x13 )
x14 = ( ( ( ( x13 OR x12 ) OR x14 ) OR x1 ) OR x6 )"
5,CHICKEN-SEX-DETERMINATION-REDUCED,10,3,7,"x1: v_AROMATASE, x2: v_DMRT1_b1, x3: v_DMRT1_b2, x4: v_FOXL2, x5: v_HEMGN, x6: v_OESTROGEN, x7: v_SOX9, x8: v_W, x9: v_Z1, x10: v_Z2","x1 = ( ( NOT x4 AND x6 ) OR x4 )
x2 = ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( NOT x9 AND NOT x2 ) AND NOT x5 ) AND x7 ) AND NOT x4 ) OR ( ( ( NOT x9 AND NOT x2 ) AND x5 ) AND NOT x4 ) ) OR ( ( ( ( ( NOT x9 AND x2 ) AND NOT x3 ) AND NOT x5 ) AND x7 ) AND NOT x4 ) ) OR ( ( ( ( NOT x9 AND x2 ) AND NOT x3 ) AND x5 ) AND NOT x4 ) ) OR ( ( NOT x9 AND x2 ) AND x3 ) ) OR ( ( ( ( ( x9 AND NOT x10 ) AND NOT x2 ) AND NOT x5 ) AND x7 ) AND NOT x4 ) ) OR ( ( ( ( x9 AND NOT x10 ) AND NOT x2 ) AND x5 ) AND NOT x4 ) ) OR ( ( ( ( ( ( x9 AND NOT x10 ) AND x2 ) AND NOT x3 ) AND NOT x5 ) AND x7 ) AND NOT x4 ) ) OR ( ( ( ( ( x9 AND NOT x10 ) AND x2 ) AND NOT x3 ) AND x5 ) AND NOT x4 ) ) OR ( ( ( x9 AND NOT x10 ) AND x2 ) AND x3 ) ) OR ( ( ( ( x9 AND x10 ) AND NOT x8 ) AND NOT x2 ) AND NOT x4 ) ) OR ( ( ( ( ( x9 AND x10 ) AND NOT x8 ) AND x2 ) AND NOT x3 ) AND NOT x4 ) ) OR ( ( ( ( x9 AND x10 ) AND NOT x8 ) AND x2 ) AND x3 ) ) OR ( ( ( ( ( ( x9 AND x10 ) AND x8 ) AND NOT x2 ) AND NOT x5 ) AND x7 ) AND NOT x4 ) ) OR ( ( ( ( ( x9 AND x10 ) AND x8 ) AND NOT x2 ) AND x5 ) AND NOT x4 ) ) OR ( ( ( ( ( ( ( x9 AND x10 ) AND x8 ) AND x2 ) AND NOT x3 ) AND NOT x5 ) AND x7 ) AND NOT x4 ) ) OR ( ( ( ( ( ( x9 AND x10 ) AND x8 ) AND x2 ) AND NOT x3 ) AND x5 ) AND NOT x4 ) ) OR ( ( ( ( x9 AND x10 ) AND x8 ) AND x2 ) AND x3 ) )
x3 = ( ( ( ( x2 AND NOT x5 ) AND x7 ) AND NOT x4 ) OR ( ( x2 AND x5 ) AND NOT x4 ) )
x4 = ( ( ( ( NOT x2 AND NOT x7 ) OR ( ( NOT x2 AND x7 ) AND x6 ) ) OR ( ( x2 AND NOT x3 ) AND NOT x7 ) ) OR ( ( ( x2 AND NOT x3 ) AND x7 ) AND x6 ) )
x5 = ( x2 AND NOT x7 )
x6 = x1
x7 = ( ( ( ( NOT x2 AND x7 ) AND NOT x4 ) OR ( ( ( x2 AND NOT x3 ) AND x7 ) AND NOT x4 ) ) OR ( ( x2 AND x3 ) AND NOT x4 ) )"
6,MAMMALIAN-CELL-CYCLE-2006,10,1,9,"x1: v_Cdc20, x2: v_Cdh1, x3: v_CycA, x4: v_CycB, x5: v_CycD, x6: v_CycE, x7: v_E2F, x8: v_Rb, x9: v_UbcH10, x10: v_p27","x1 = x4
x2 = ( ( x1 OR ( x10 AND NOT x4 ) ) OR NOT ( ( ( x10 OR x4 ) OR x3 ) OR x1 ) )
x3 = ( ( x3 AND NOT ( ( ( x2 AND x9 ) OR x1 ) OR x8 ) ) OR ( x7 AND NOT ( ( ( x2 AND x9 ) OR x1 ) OR x8 ) ) )
x4 = NOT ( x1 OR x2 )
x6 = ( x7 AND NOT x8 )
x7 = ( ( x10 AND NOT ( x4 OR x8 ) ) OR NOT ( ( ( x10 OR x8 ) OR x4 ) OR x3 ) )
x8 = ( ( x10 AND NOT ( x5 OR x4 ) ) OR NOT ( ( ( ( x6 OR x10 ) OR x4 ) OR x5 ) OR x3 ) )
x9 = ( ( ( ( ( x9 AND ( ( x2 AND ( ( x4 OR x1 ) OR x3 ) ) OR NOT x2 ) ) OR ( x3 AND NOT x2 ) ) OR ( x1 AND NOT x2 ) ) OR ( x4 AND NOT x2 ) ) OR NOT ( ( ( ( x9 OR x2 ) OR x4 ) OR x1 ) OR x3 ) )
x10 = ( ( x10 AND NOT ( ( x5 OR ( x3 AND x6 ) ) OR x4 ) ) OR NOT ( ( ( ( x6 OR x10 ) OR x4 ) OR x5 ) OR x3 ) )"
7,MAMMAL-SEX-DETERMINATION-1-CELL,19,6,13,"x1: v_AF, x2: v_AS, x3: v_Dmrt1, x4: v_Fgf9_b1, x5: v_Fgf9_b2, x6: v_Foxl2, x7: v_Gata4, x8: v_IW, x9: v_Sf1_b1, x10: v_Sf1_b2, x11: v_Sox9_b1, x12: v_Sox9_b2, x13: v_Sry, x14: v_Wnt4_b1, x15: v_Wnt4_b2, x16: v_Wt1, x17: v_Y, x18: v_b_cat_b1, x19: v_b_cat_b2","x3 = ( ( ( ( ( NOT x7 AND x9 ) AND x11 ) AND x12 ) AND NOT x6 ) OR ( x7 AND NOT x6 ) )
x4 = ( ( ( NOT x11 AND x4 ) OR ( ( x11 AND NOT x12 ) AND x4 ) ) OR ( x11 AND x12 ) )
x5 = ( ( x11 AND x12 ) AND x4 )
x6 = ( x1 AND NOT x3 )
x9 = ( ( ( NOT x16 AND x9 ) AND x10 ) OR x16 )
x10 = ( ( ( x16 AND x9 ) AND x11 ) AND x12 )
x11 = ( ( ( ( ( ( ( NOT x9 AND x11 ) AND x12 ) OR ( ( ( x9 AND NOT x11 ) AND NOT x18 ) AND NOT x6 ) ) OR ( ( ( ( x9 AND NOT x11 ) AND x18 ) AND NOT x19 ) AND NOT x6 ) ) OR ( ( ( ( x9 AND x11 ) AND NOT x12 ) AND NOT x18 ) AND NOT x6 ) ) OR ( ( ( ( ( x9 AND x11 ) AND NOT x12 ) AND x18 ) AND NOT x19 ) AND NOT x6 ) ) OR ( ( x9 AND x11 ) AND x12 ) )
x12 = ( ( ( ( ( ( NOT x13 AND x9 ) AND x11 ) AND NOT x18 ) AND NOT x6 ) OR ( ( ( ( x13 AND x9 ) AND x11 ) AND NOT x18 ) AND NOT x6 ) ) OR ( ( ( ( ( x13 AND x9 ) AND x11 ) AND x18 ) AND NOT x19 ) AND NOT x6 ) )
x13 = ( ( ( ( ( ( x17 AND x16 ) AND x2 ) AND x7 ) AND x9 ) AND NOT x11 ) OR ( ( ( ( ( ( x17 AND x16 ) AND x2 ) AND x7 ) AND x9 ) AND x11 ) AND NOT x12 ) )
x14 = ( ( NOT x8 AND x14 ) OR ( ( x8 AND x14 ) AND x15 ) )
x15 = ( ( NOT x8 AND NOT x4 ) AND x14 )
x18 = ( ( ( ( ( ( ( NOT x11 AND NOT x14 ) AND x18 ) AND x19 ) OR ( NOT x11 AND x14 ) ) OR ( ( ( ( x11 AND NOT x12 ) AND NOT x14 ) AND x18 ) AND x19 ) ) OR ( ( x11 AND NOT x12 ) AND x14 ) ) OR ( ( ( x11 AND x12 ) AND x18 ) AND x19 ) )
x19 = ( ( ( ( NOT x11 AND x14 ) AND x15 ) AND x18 ) OR ( ( ( ( x11 AND NOT x12 ) AND x14 ) AND x15 ) AND x18 ) )"
8,ESCHERICHIA-COLI-TRYPTOPHAN,16,3,13,"x1: v_A, x2: v_B, x3: v_C, x4: v_E, x5: v_E_m, x6: v_L, x7: v_M_1, x8: v_M_2, x9: v_P, x10: v_R, x11: v_T, x12: v_W, x13: v_W_m, x14: v_gamma, x15: v_omega_e, x16: v_omega_em","x1 = ( x8 AND NOT x14 )
x2 = x8
x3 = NOT x14
x4 = ( x7 AND NOT x6 )
x5 = ( x7 OR x4 )
x6 = ( x7 AND x11 )
x7 = NOT x10
x8 = ( x3 AND NOT x9 )
x9 = ( NOT x12 AND NOT x13 )
x10 = x12
x11 = x13
x12 = ( ( x7 AND ( NOT x6 AND NOT x1 ) ) OR ( x15 AND x2 ) )
x13 = ( x7 OR ( x12 OR ( x15 OR ( x16 AND x2 ) ) ) )"
9,SKBR3-BREAST-CELL-LINE-SHORT-TERM,16,5,11,"x1: v_AKT, x2: v_EGF, x3: v_ERBB1, x4: v_ERBB2, x5: v_ERBB3, x6: v_ERK1_2, x7: v_HRG, x8: v_MEK1_2, x9: v_PDK1, x10: v_PKCa, x11: v_PLCg, x12: v_erlotinib, x13: v_mTOR, x14: v_p70S6K, x15: v_pertuzumab, x16: v_trastuzumab","x1 = ( ( ( x13 OR x9 ) OR x1 ) OR x5 )
x3 = ( ( ( x3 AND NOT ( x15 OR x12 ) ) OR ( x2 AND NOT ( x15 OR x12 ) ) ) OR ( x11 AND NOT ( x15 OR x12 ) ) )
x4 = ( x4 AND NOT ( ( x16 OR x15 ) OR x12 ) )
x5 = ( ( x5 AND NOT ( x12 OR x15 ) ) OR ( x7 AND NOT ( x12 OR x15 ) ) )
x6 = ( ( ( x9 OR x5 ) OR x8 ) OR x6 )
x8 = ( ( ( x4 OR x5 ) OR x3 ) OR x8 )
x9 = ( ( ( x4 OR x3 ) OR x9 ) OR x5 )
x10 = ( x11 OR x10 )
x11 = ( ( ( x4 OR x5 ) OR x3 ) OR x11 )
x13 = ( x13 OR x1 )
x14 = ( ( ( x14 OR x1 ) OR x13 ) OR x6 )"
10,MAPK-REDUCED-2,18,4,14,"x1: v_AKT, x2: v_Apoptosis, x3: v_DNA_damage, x4: v_EGFR, x5: v_EGFR_stimulus, x6: v_ERK, x7: v_FGFR3, x8: v_FGFR3_stimulus, x9: v_GRB2, x10: v_Growth_Arrest, x11: v_PI3K, x12: v_Proliferation, x13: v_RAF, x14: v_RAS, x15: v_TGFBR_stimulus, x16: v_p21, x17: v_p38, x18: v_p53","x1 = ( NOT x18 AND x11 )
x2 = ( ( ( ( ( ( ( ( NOT x15 AND NOT x3 ) AND NOT x6 ) AND NOT x17 ) AND x18 ) AND NOT x1 ) OR ( ( ( ( ( ( NOT x15 AND NOT x3 ) AND NOT x6 ) AND x17 ) AND x18 ) AND NOT x1 ) AND x14 ) ) OR ( ( ( ( NOT x15 AND x3 ) AND NOT x6 ) AND x18 ) AND NOT x1 ) ) OR ( ( ( x15 AND NOT x6 ) AND x18 ) AND NOT x1 ) )
x4 = ( ( ( ( ( NOT x5 AND x6 ) AND NOT x4 ) AND NOT x7 ) AND NOT x9 ) OR ( ( ( x5 AND NOT x4 ) AND NOT x7 ) AND NOT x9 ) )
x6 = ( ( ( ( ( ( ( ( ( ( NOT x15 AND NOT x3 ) AND NOT x6 ) AND NOT x17 ) AND NOT x18 ) AND x13 ) AND NOT x14 ) OR ( ( ( ( ( ( NOT x15 AND NOT x3 ) AND x6 ) AND NOT x17 ) AND NOT x18 ) AND NOT x13 ) AND x14 ) ) OR ( ( ( ( ( NOT x15 AND NOT x3 ) AND x6 ) AND NOT x17 ) AND NOT x18 ) AND x13 ) ) OR ( ( ( ( ( ( NOT x15 AND NOT x3 ) AND x6 ) AND NOT x17 ) AND x18 ) AND x13 ) AND NOT x14 ) ) OR ( ( ( ( ( ( NOT x15 AND x3 ) AND x6 ) AND NOT x17 ) AND NOT x18 ) AND x13 ) AND NOT x14 ) )
x7 = ( ( ( x8 AND NOT x4 ) AND NOT x7 ) AND NOT x9 )
x9 = ( ( ( ( ( ( ( NOT x15 AND NOT x6 ) AND NOT x4 ) AND x7 ) AND NOT x9 ) OR ( ( NOT x15 AND NOT x6 ) AND x4 ) ) OR ( ( NOT x15 AND x6 ) AND x4 ) ) OR x15 )
x10 = x16
x11 = ( ( NOT x9 AND x11 ) OR x9 )
x12 = ( ( ( ( ( x6 AND NOT x17 ) AND NOT x16 ) AND x1 ) AND x11 ) OR ( ( ( x6 AND x17 ) AND NOT x16 ) AND x11 ) )
x13 = ( ( ( ( ( ( NOT x6 AND NOT x4 ) AND NOT x7 ) AND NOT x1 ) AND x14 ) OR ( ( ( NOT x6 AND NOT x4 ) AND x7 ) AND NOT x1 ) ) OR ( ( NOT x6 AND x4 ) AND NOT x1 ) )
x14 = ( ( ( ( ( ( ( NOT x6 AND NOT x4 ) AND NOT x7 ) AND x9 ) OR ( ( NOT x6 AND NOT x4 ) AND x7 ) ) OR ( NOT x6 AND x4 ) ) OR ( ( x6 AND NOT x4 ) AND x7 ) ) OR ( x6 AND x4 ) )
x16 = ( x18 AND NOT x1 )
x17 = ( ( ( ( ( ( ( ( ( ( ( ( ( ( NOT x15 AND NOT x3 ) AND NOT x6 ) AND NOT x17 ) AND NOT x18 ) AND x14 ) OR ( ( ( ( NOT x15 AND NOT x3 ) AND NOT x6 ) AND NOT x17 ) AND x18 ) ) OR ( ( ( ( ( NOT x15 AND NOT x3 ) AND NOT x6 ) AND x17 ) AND x18 ) AND x14 ) ) OR ( ( ( ( NOT x15 AND NOT x3 ) AND x6 ) AND x18 ) AND x14 ) ) OR ( ( ( NOT x15 AND x3 ) AND NOT x6 ) AND NOT x17 ) ) OR ( ( ( ( ( NOT x15 AND x3 ) AND NOT x6 ) AND x17 ) AND NOT x18 ) AND x14 ) ) OR ( ( ( ( NOT x15 AND x3 ) AND NOT x6 ) AND x17 ) AND x18 ) ) OR ( ( ( ( NOT x15 AND x3 ) AND x6 ) AND NOT x18 ) AND x14 ) ) OR ( ( ( NOT x15 AND x3 ) AND x6 ) AND x18 ) ) OR x15 )
x18 = ( ( ( ( ( ( NOT x3 AND x17 ) OR ( ( ( ( x3 AND NOT x6 ) AND NOT x17 ) AND NOT x18 ) AND NOT x1 ) ) OR ( ( x3 AND NOT x6 ) AND x17 ) ) OR ( ( ( x3 AND x6 ) AND NOT x17 ) AND NOT x18 ) ) OR ( ( ( ( x3 AND x6 ) AND NOT x17 ) AND x18 ) AND x1 ) ) OR ( ( x3 AND x6 ) AND x17 ) )"
